Nombre;Motor;Año;Kilometraje;Cero_km;Accesorios;Valor
Grand Livina;Motor 2.0 16v;2014;112016;False;['Control de tracción', 'Techo panorámico', 'Ventanas eléctricas', '4 X 4', 'Transmisión automática', 'Asientos de cuero', 'Panel digital', 'Sensor de lluvia'];68652.16
V60;Motor Diesel;2004;91840;False;['Llantas de aleación', 'Sensor crepuscular', 'Aire condicionado', 'Sensor de estacionamiento', 'Asientos de cuero', 'Transmisión automática', 'Central multimedia', 'Techo panorámico'];114728.74
Effa Hafei Picape Cabine Dupla;Motor V6;2008;112787;False;['Sensor crepuscular', 'Control de tracción', 'Asientos de cuero', 'Ventanas eléctricas', 'Panel digital', 'Piloto automático', 'Llantas de aleación', 'Techo panorámico'];141645.08
Benni Mini;Motor V8;2019;;True;['Sensor crepuscular', 'Transmisión automática', 'Cámara de estacionamiento', 'Frenos ABS', 'Sensor de lluvia', 'Control de estabilidad', 'Panel digital', 'Sensor de estacionamiento'];126247.84
Uno;Motor Diesel V6;2019;;True;['Central multimedia', 'Sensor crepuscular', 'Control de estabilidad', 'Aire condicionado', 'Frenos ABS', 'Control de tracción', 'Techo panorámico', 'Transmisión automática'];128852.21
L200 Savana;Motor 2.0 16v;2012;9293;False;['Sensor de lluvia', 'Ventanas eléctricas', 'Panel digital', 'Techo panorámico', 'Control de tracción', 'Transmisión automática', 'Central multimedia', 'Sensor de estacionamiento'];132384.76
Santa Fe;Motor 3.0 32v;2019;;True;['Cerraduras electricas', 'Aire condicionado', '4 X 4', 'Llantas de aleación', 'Transmisión automática', 'Sensor de estacionamiento', 'Central multimedia', 'Frenos ABS'];129415.33
RS5;Motor V6;1996;55083;False;['Panel digital', 'Transmisión automática', 'Ventanas eléctricas', 'Cámara de estacionamiento', 'Asientos de cuero', 'Control de tracción', 'Aire condicionado', 'Central multimedia'];89536.82
Cerato;Motor V6;2011;48796;False;['Sensor de estacionamiento', 'Cámara de estacionamiento', 'Frenos ABS', 'Ventanas eléctricas', 'Control de estabilidad', 'Transmisión automática', 'Control de tracción', 'Asientos de cuero'];87975.3
XC60;Motor 4.0 Turbo;2019;;True;['Panel digital', 'Piloto automático', 'Central multimedia', 'Control de tracción', 'Cerraduras electricas', 'Llantas de aleación', 'Control de estabilidad', '4 X 4'];77675.79
LS 460L;Motor Diesel V8;2010;89685;False;['Llantas de aleación', 'Frenos ABS', 'Control de tracción', 'Transmisión automática', 'Cámara de estacionamiento', '4 X 4', 'Panel digital', 'Cerraduras electricas'];58881.67
Lamborghini Sesto Elemento;Motor V8;2007;85384;False;['Sensor crepuscular', 'Frenos ABS', 'Aire condicionado', 'Panel digital', 'Cerraduras electricas', 'Asientos de cuero', 'Sensor de estacionamiento', '4 X 4'];55081.99
Lamborghini Huracán;Motor V8;1994;98108;False;['Sensor de lluvia', 'Sensor de estacionamiento', 'Cámara de estacionamiento', 'Asientos de cuero', 'Llantas de aleación', '4 X 4', 'Transmisión automática', 'Ventanas eléctricas'];118826.44
A7;Motor 1.0 8v;2007;71280;False;['Sensor de lluvia', 'Ventanas eléctricas', 'Sensor crepuscular', '4 X 4', 'Transmisión automática', 'Control de tracción', 'Asientos de cuero', 'Panel digital'];137627.62
Phantom 2013;Motor V8;2014;27505;False;['Control de estabilidad', 'Piloto automático', 'Transmisión automática', 'Cámara de estacionamiento', 'Control de tracción', 'Techo panorámico', 'Panel digital', 'Aire condicionado'];51759.58
Cadillac Ciel concept;Motor V8;1991;29981;False;['Asientos de cuero', 'Panel digital', 'Sensor de lluvia', 'Cerraduras electricas', 'Sensor de estacionamiento', 'Ventanas eléctricas', 'Llantas de aleación', 'Piloto automático'];51667.06
Classe GLK;Motor 5.0 V8 Bi-Turbo;2002;52637;False;['Llantas de aleación', 'Control de tracción', 'Transmisión automática', 'Techo panorámico', 'Aire condicionado', '4 X 4', 'Central multimedia', 'Sensor crepuscular'];68934.03
Aston Martin DB5;Motor Diesel;1996;7685;False;['Aire condicionado', '4 X 4', 'Transmisión automática', 'Frenos ABS', 'Control de tracción', 'Cámara de estacionamiento', 'Panel digital', 'Central multimedia'];122110.9
Macan;Motor Diesel V6;1992;50188;False;['Central multimedia', 'Techo panorámico', 'Ventanas eléctricas', 'Control de tracción', 'Llantas de aleación', 'Frenos ABS', 'Cámara de estacionamiento', 'Cerraduras electricas'];90381.47
